type,coordinates long,coordinates lat,category,name,info
Point,13.206149821905766,52.538677431797865,Brunnen,Partnerschaftsbrunnen,Havelstraße
Point,13.199560372331051,52.536364411394814,Brunnen,Mühlenbrunnen,Münsingerpark
Point,13.201414965668063,52.53645225203617,Brunnen,Spielende Kinder,
Point,13.203862870693449,52.537459842069566,Brunnen,Havelwelle,
Point,13.28517827872009,52.630389965913615,Brunnen,Zierbrunnen,An der Buche 20
Point,13.280416985147902,52.626434626785944,Brunnen,Barbarossabrunnen,
Point,13.290661095288486,52.63360015581358,Brunnen,Kugelläuferin,Zeltinger Platz
Point,13.288740692116733,52.63277245909478,Brunnen,Große Fontäne,Ludofingerplatz 7
Point,13.288160723207143,52.632513831307925,Brunnen,Rechteckbrunnen,Ludofingerplatz 7
Point,13.290813985173838,52.633668041514134,Brunnen,Kaskadenbrunnen,Zeltinger Platz
Point,13.485892780920775,52.62125821828341,Brunnen,Brunnen Karow-Nord,
Point,13.420899409008175,52.606841014216265,Brunnen,Zierbrunnen,
Point,13.282608307398226,52.589688000775595,Brunnen,Schinkelbrunnen,
Point,13.327966548225426,52.56377206386149,Brunnen,Wassertempel,
Point,13.284169511766079,52.5897155261534,Brunnen,Felsenbrunnen,Gorkistraße 2
Point,13.328355055450643,52.564120497958235,Brunnen,Wassertempel,
Point,13.327398396849674,52.56400541237869,Brunnen,Wassertempel,
Point,13.330900245837451,52.54972391120829,Brunnen,Rathenaubrunnen,
Point,13.327716941682157,52.56432577885542,Brunnen,Wassertempel,
Point,13.27215336165421,52.509359841438766,Brunnen,Blauer Obelisk,Theodor-Heuss-Platz
Point,13.28920050295668,52.50319294669212,Brunnen,Große Kaskaden,
Point,13.269940203274853,52.537967504412784,Brunnen,Jugendplatzbrunnen,
Point,13.308024919168535,52.503253142498295,Brunnen,St. Georg-Brunnen,
Point,13.33111864237951,52.52917276470115,Brunnen,Springbrunnen,Waldstraße / Waldenserstraße
Point,13.312685487331636,52.500829897705735,Brunnen,Jungschwanenbrunnen,Leibnizstraße / Kurfürstendamm
Point,13.289590865075434,52.50926679999275,Brunnen,Rundbecken mit Fontäne,
Point,13.313169516777121,52.49952141482881,Brunnen,Drei Brunnenschalen,
Point,13.299410480245257,52.5045445218857,Brunnen,Spielbrunnen,
Point,13.313725019448633,52.50183601669785,Brunnen,Wasserfontäne,
Point,13.295448230243778,52.52249691263473,Brunnen,Schlossbrunnen (SPSG),
Point,13.30721528476826,52.50069546790299,Brunnen,Säule in der Brandung,Adenauerplatz
Point,13.304797832010097,52.52614838483498,Brunnen,Rundbecken mit Fontäne,Mierendorffplatz
