type,coordinates long,coordinates lat,category,name,info,area_total_m2,perimeter_total_m,area_perimeter_ratio_total
Feature,13.286288471112766,52.54382509193763,Grünanlage,Volkspark Jungfernheide (intensiv),,227815.94,11447.19,19.9015
Feature,13.29297923374619,52.52427523419676,Grünanlage,Schlosspark Charlottenburg,,549128.55,5598.11,98.0917
Feature,13.258999341426085,52.523989304685855,Grünanlage,Ruhwaldpark,,101746.93,2320.3,43.8508
Feature,13.28018456668688,52.538506772619364,Grünanlage,Goebelplatz - Grünanlage,,6253.36,318.36,19.6424
Feature,13.241822364531625,52.52178898898267,Grünanlage,Murellenweg - Grüngürtel am Olympiastadion,"ehem. Olympiastadion, Grüngürtel",76368.7,2525.22,30.2424
Feature,13.289666400094196,52.47047168556803,Grünanlage,Platz am Wilden Eber - Grünanlage,Platzmitte,1685.86,156.8,10.7516
Feature,13.290286141023797,52.47444417850511,Grünanlage,Warnemünder Str. - Mittelstreifen - GA,Straßenpromenade,6770.69,1011.89,6.6912
Feature,13.303801472327365,52.543591294986975,Grünanlage,Abendruh (ehem. Gärtnerei) - Grünanlage,"Grünanlage (Straße 70, Nr. 18)",7568.27,979.5,7.7267
Feature,13.325852805574282,52.50872385693971,Grünanlage,Steinplatz - Grünanlage,,3392.92,232.65,14.5836
Feature,13.296654964386665,52.511420422101494,Grünanlage,Sophie-Charlotten-Platz - GA,,3008.35,219.06,13.7332
Feature,13.29106004754349,52.518150440703074,Grünanlage,Klausenerplatz - Grünanlage,,9463.16,695.19,13.6123
Feature,13.298918231352722,52.51628320530345,Grünanlage,Schustehruspark - Grünanlage,,10228.93,671.9,15.2238
Feature,13.304973638714584,52.52621426372936,Grünanlage,Mierendorffplatz - Grünanlage,,7712.06,550.79,14.0019
Feature,13.289882396034026,52.50478830483198,Grünanlage,Kuno-Fischer-Platz - Grünanlage,,4052.73,404.12,10.0284
Feature,13.295451616809926,52.50650279577847,Grünanlage,Amtsgerichtsplatz - Grünanlage,,2200.3,189.29,11.6242
Feature,13.250826677542783,52.52393892201189,Grünanlage,Spandauer Damm 268/Ruhwaldweg - GA,Grünanlage am Spandauer Bock,15834.65,1585.56,9.9868
Feature,13.249156818083165,52.524778191793885,Grünanlage,Ruhwaldweg/Wiesendamm - GA,Spreeblick,20166.05,1821.71,11.0698
Feature,13.287272726807151,52.508403995222054,Grünanlage,Lietzenseepark/Nord,,55806.07,3071.21,18.1707
Feature,13.2679741166745,52.5287171115859,Grünanlage,Ruhwaldweg 2 - Grünanlage zur Spree,nördl. S-Bhf Siemensstadt-Fürstenbrunn,1904.26,225.59,8.4412
Feature,13.272478823729925,52.50931038429236,Grünanlage,Theodor-Heuss-Platz - Grünanlage,Mittelinsel,9243.25,389.19,23.7501
Feature,13.24949710970656,52.52297902205034,Grünanlage,Reichsstr./Spandauer Damm - GA,,20151.53,1039.99,19.3766
Feature,13.290126021317276,52.51007019330461,Grünanlage,Erwin-Barth-Platz (Kaiserdammdreieck) - GA,Wundt-/Soph.-Charl.-Str/Kaiserdamm,4029.89,290.15,13.8891
Feature,13.297035461039068,52.52616031581418,Grünanlage,Tegeler Weg - Grünanlage,Bonhoefferufer bis Bhf. Jungfernheide,7686.79,1327.71,5.7895
Feature,13.216199375349237,52.50952083130357,Grünanlage,Havelchaussee 150 - Stößenseebrücke - GA,nördl. der Heerstr.,1907.65,213.57,8.9321
Feature,13.304084036842694,52.5220789629539,Grünanlage,Sömmeringstr. 005 - Grünanlage,Österreichpark,18260.5,1467.35,12.4446
Feature,13.227993630627356,52.50853379558201,Grünanlage,Schirwindter Allee - Wäldchen - GA,Angerburger Allee bis Tharauer Allee,4524.43,335.62,13.4809
Feature,13.312884393556049,52.53098124522497,Grünanlage,Goslarer Ufer - Grünanlage Gaußstr.,Gaußstr. bis S-Bahn,5799.66,461.33,12.5717
Feature,13.215320828077886,52.50876625916274,Grünanlage,Havelchaussee 148 - Stößenseebrücke - GA,südl. der Heerstr.,7228.92,389.34,18.5669
Feature,13.280051819187362,52.53465595829383,Grünanlage,Siemensdamm/Letterhausweg - GA,Grünanlage westl. Letterhausweg,6827.14,710.8,9.6049
Feature,13.300419693406862,52.52010598014464,Grünanlage,Eosanderstr. 20c - Grünanlage,"""Eosanderplatz""",1331.02,145.8,9.1288
Feature,13.296004415503768,52.50185449832575,Grünanlage,Kracauerplatz - Grünanlage,ehem. Holtzendorffplatz,1579.95,189.98,8.3165
Feature,13.296816614643795,52.50254560925554,Grünanlage,Gervinusstr. 28 - Grünanlage,/Holtzendorffstr.,1599.35,193.17,8.2793
Feature,13.308975036679186,52.51127530167288,Grünanlage,Shakespeareplatz - Grünanlage,,1775.47,174.98,10.1464
Feature,13.289183632961015,52.503315275849985,Grünanlage,Lietzenseepark/Süd - Gr. Kaskade,Dernburgplatz,2875.62,253.74,11.3329
Feature,13.32235062095144,52.50544759885664,Grünanlage,Savignyplatz - Grünanlage,,5336.82,414.74,12.8677
