type,coordinates long,coordinates lat,category,name,info
Point,13.310071,52.47462504,"Öffentlicher ""Kühler Raum""",Lindenkirche,"Homburger Str. 48, 14197 Berlin | Mo - So: 10:00 - 16:00 Uhr | nicht rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.381947,52.50662104,"Öffentlicher ""Kühler Raum""",Museum - Gropius Bau,"Niederkirchnerstraße 7, 10963 Berlin | Mo: 12:00 - 19:00 Uhr; Mi - Fr: 12:00 - 19:00 Uhr; Sa, So, Feiertage: 10:00 - 19:00 Uhr | rollstuhlgerecht | Es sind barrierefreie/ rollstuhlgerechte Toiletten im Untergeschoss und im ersten Obergeschoss zu finden. Es erfolgt keine medizinische Betreuung."
Point,13.397175,52.48949304,"Öffentlicher ""Kühler Raum""",Passionskirche am Marheinekeplatz,"Marheinekeplatz 1, 10961 Berlin | Mo - Mi: 14:00 - 18:00 Uhr Freitagnachmittag mobil mit Rad für gefährdete Personen im Quartier (aufsuchende Hilfe ca. 2 Std.) | rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten, Unterhaltung/Spiele und W-LAN, Sonnencreme und Sonnenhüte. Es erfolgt keine medizinische Betreuung."
Point,13.606316,52.54106504,"Öffentlicher ""Kühler Raum""",Quartiersmanagement Hellersdorfer Promenade,"Hellersdorfer Promenade 17, 12627 Berlin | Mo - Fr: 10:00 - 15:00 Uhr; Do: 10:00 - 18:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.59119,52.54586504,"Öffentlicher ""Kühler Raum""",Stadtteilzentrum Hellersdorfer Terrassen,"Alte Hellersdorfer Straße 121, 12629 Berlin | Mo - Fr: 10:00 - 18:00 Uhr | eingeschränkt rollstuhlgerecht | Das WC ist nur eingeschränkt mit Rollstühlen nutzbar. Es erfolgt keine medizinische Betreuung."
Point,13.555077,52.55388604,"Öffentlicher ""Kühler Raum""",SOPHIA Berlin GmbH,"Walter-Felsenstein-Straße 13, 12687 Berlin | Mo - Fr: 08:00 - 16:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.56349,52.54743604,"Öffentlicher ""Kühler Raum""",SOPHIA Berlin GmbH,"Oppermannstraße 5, 12679 Berlin | Mo - Fr: 08:00 - 16:00 Uhr | nicht rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.593773,52.52097104,"Öffentlicher ""Kühler Raum""",Pflegewohnzentrum Kaulsdorf-Nord - Wohnpark am Cecilienplatz,"Lily-Braun-Str. 54, 12619 Berlin | Mo - So: 09:00 - 18:00 Uhr | rollstuhlgerecht | Sie haben die Möglichkeit sich vor Hitze im Foyer zu schützen. Bitte melden Sie sich an der Rezeption. Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten und Unterhaltungsangebote/Spiele. Es erfolgt keine medizinische Betreuung."
Point,13.555897,52.54755804,"Öffentlicher ""Kühler Raum""",Bezirkszentralbibliothek Mark Twain - Im Freizeitforum,"Marzahner Promenade 54/55, 12679 Berlin | Mo, Di, Do, Fr: 10:00 - 19:30 Uhr Mi: 14:00 - 19:30 Uhr Sa: 10:00 - 14:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.592725,52.52930804,"Öffentlicher ""Kühler Raum""","Stadtteilbibliothek Kaulsdorf-Nord, Im Forum Kienberg","Neue Grottkauer Straße 5, 12619 Berlin | Mo, Di, Do: 12:00 - 19:00 Uhr Mi, Fr: 09:00 - 13:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.36348,52.50374704,"Öffentlicher ""Kühler Raum""",Nachbarschaftstreff Lützowstraße,"Lützowstr. 27, 10758 Berlin | Mo - Fr: 11:00 - 18:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.326359,52.53192804,"Öffentlicher ""Kühler Raum""",Stadtschloss-Treff Moabit,"Rostocker Str. 32, 10553 Berlin | Mo - Fr: 12:00 - 18:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechter Zugang vorhanden. Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.396438,52.53723304,"Öffentlicher ""Kühler Raum""",Nachbarschaftszentrum Brunnentreff,"Brunnenstraße 145, 10115 Berlin-Mitte | Mo: 10:00 - 19:00 Uhr; Di, Mi, Do: 10:00 - 17:00 Uhr | eingeschränkt rollstuhlgerecht | Es ist ein rollstuhlgerechter Zugang vorhanden. Es ist kein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.392888,52.52811104,"Öffentlicher ""Kühler Raum""",Begegnungsstätte „Mehr Mitte“,"Torstraße 190, 10155 Berlin-Mitte | Mo - Fr: 09:30 – 17:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechter Zugang vorhanden. Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.346222,52.55409404,"Öffentlicher ""Kühler Raum""",Zukunftshaus Wedding,"Müllerstr. 56-58, 13349 Berlin | Mi: 12:30 - 20:00 Uhr | rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten, Unterhaltung/Spiele und W-LAN. Es erfolgt keine medizinische Betreuung."
Point,13.339764,52.52602204,"Öffentlicher ""Kühler Raum""",Heilandskirche - offene Kirche,"Thusneldaallee 1, 10551 Berlin | Mi: 13:00 - 18:00 Uhr | rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten und Toiletten. Die Kirche ist frei bestuhlbar. Es erfolgt keine medizinische Betreuung."
Point,13.349799,52.52483604,"Öffentlicher ""Kühler Raum""",St. Johannis - offene Kirche,"Alt-Moabit 23-25, 10559 Berlin | Mo, Mi, Fr: 12:00 bis 15:00 Uhr | nicht rollstuhlgerecht | Es gibt Sitzgelegenheiten und Toiletten. Es erfolgt keine medizinische Betreuung."
Point,13.409516,52.51355304,"Öffentlicher ""Kühler Raum""",Stadtteilzentrum KREATIVHAUS,"Fischerinsel 3, 10179 Berlin | Mo - Fr: 09:00 – 18:00 Uhr | rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten, Unterhaltung/Spiele und W-LAN. Es erfolgt keine medizinische Betreuung."
Point,13.468894,52.42977704,"Öffentlicher ""Kühler Raum""",Nachbarschaftstreff Waschhaus-Café,"Eugen-Bolz-Kehre 12, 12351 Berlin | Mo, Di, Do: 10:00 - 17:00 Uhr; Mi, Fr: 10:00 - 15:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.432212,52.47849604,"Öffentlicher ""Kühler Raum""",Bürgerzentrum Neukölln,"Werbellinstraße 42, 12053 Berlin | Di, Mi: 09:00 - 15.00 Uhr; Do: 09:00 - 17:00 Uhr; Fr: 09:00 - 14:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.441167,52.47119204,"Öffentlicher ""Kühler Raum""",Nachbarschaftshaus am Körnerpark,"Schierker Str. 53a, 12051 Berlin | Mo - Fr: 9:00 - 18:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
