type,coordinates long,coordinates lat,category,name,info
Point,13.6190585,52.5425582,Picknicktisch,Picknicktisch,
Point,13.3749559,52.496169,Picknicktisch,Picknicktisch,
Point,13.4172801,52.472605,Picknicktisch,Picknicktisch,
Point,13.4036392,52.4802232,Picknicktisch,Picknicktisch,
Point,13.3944991,52.4700815,Picknicktisch,Picknicktisch,
Point,13.3947004,52.6314041,Picknicktisch,Waldspielplatz Blankenfelde,
Point,13.6349991,52.4167606,Picknicktisch,Picknicktisch,
Point,13.2477241,52.5853166,Picknicktisch,Picknicktisch,
Point,13.4121787,52.5622715,Picknicktisch,Picknicktisch,
Point,13.1653955,52.5762934,Picknicktisch,Picknicktisch,
Point,13.1783449,52.5735489,Picknicktisch,Picknicktisch,
Point,13.3645506,52.4956902,Picknicktisch,Picknicktisch,
Point,13.3647737,52.4958059,Picknicktisch,Picknicktisch,
Point,13.2890227,52.462312,Picknicktisch,Picknicktisch,
Point,13.4392522,52.4964143,Picknicktisch,Streuobstwiese,
Point,13.2245495,52.5206948,Picknicktisch,Picknicktisch,
Point,13.2248135,52.5204786,Picknicktisch,Picknicktisch,
Point,13.3287555,52.5103947,Picknicktisch,Picknicktisch,
Point,13.329273,52.5103162,Picknicktisch,Picknicktisch,
Point,13.3260331,52.5095095,Picknicktisch,Picknicktisch,
Point,13.3272861,52.5108624,Picknicktisch,Picknicktisch,
Point,13.5142587,52.5850675,Picknicktisch,Picknicktisch,
Point,13.4827198,52.6205019,Picknicktisch,Picknicktisch,
Point,13.4800288,52.5737112,Picknicktisch,Picknicktisch,
Point,13.4752506,52.517929,Picknicktisch,Parkaue,
Point,13.1935999,52.5813835,Picknicktisch,Schweinehirte,
Point,13.4844949,52.6621097,Picknicktisch,Picknicktisch,
Point,13.5839374,52.4233773,Picknicktisch,Grillplatz,
Point,13.441293,52.4955524,Picknicktisch,Grillwiese,
Point,13.575204,52.5384209,Picknicktisch,Picknicktisch,
Point,13.5637642,52.563539,Picknicktisch,Picknicktisch,
Point,13.3637084,52.4022041,Picknicktisch,Picknicktisch,
Point,13.4206865,52.4710514,Picknicktisch,Picknicktisch,
