type,coordinates long,coordinates lat,category,name,info,aktualisiert
Point,13.3527183,52.545289,Sitzbank,Sitzbank,,2026-07-15
Point,13.4030541,52.5230504,Sitzbank,Sitzbank,,2026-07-15
Point,13.4026205,52.5231744,Sitzbank,Sitzbank,,2026-07-15
Point,13.4024169,52.5230477,Sitzbank,Sitzbank,,2026-07-15
Point,13.4027613,52.5230708,Sitzbank,Sitzbank,,2026-07-15
Point,13.5772001,52.4455988,Sitzbank,Sitzbank,,2026-07-15
Point,13.4638243,52.4243678,Sitzbank,Sitzbank,,2026-07-15
Point,13.4637476,52.4244523,Sitzbank,Sitzbank,,2026-07-15
Point,13.4636126,52.4242689,Sitzbank,Sitzbank,,2026-07-15
Point,13.4180858,52.5368768,Sitzbank,Sitzbank,,2026-07-15
Point,13.4148077,52.5220334,Sitzbank,Sitzbank,,2026-07-15
Point,13.4154957,52.4329829,Sitzbank,Sitzbank,,2026-07-15
Point,13.415953,52.4329461,Sitzbank,Sitzbank,,2026-07-15
Point,13.4127719,52.5220243,Sitzbank,Sitzbank,,2026-07-15
Point,13.3571349,52.4600988,Sitzbank,Sitzbank,,2026-07-15
Point,13.5650559,52.4070729,Sitzbank,Sitzbank,,2026-07-15
Point,13.5651361,52.4070462,Sitzbank,Sitzbank,,2026-07-15
Point,13.5651576,52.4071486,Sitzbank,Sitzbank,,2026-07-15
Point,13.4354427,52.5164895,Sitzbank,Sitzbank,,2026-07-15
Point,13.4343042,52.51558,Sitzbank,Sitzbank,,2026-07-15
Point,13.2110828,52.4930851,Sitzbank,Sitzbank,,2026-07-15
Point,13.2105467,52.4922473,Sitzbank,Sitzbank,,2026-07-15
Point,13.3682513,52.4897315,Sitzbank,Sitzbank,,2026-07-15
Point,13.3683557,52.4903004,Sitzbank,Sitzbank,,2026-07-15
Point,13.3776488,52.5118872,Sitzbank,Sitzbank,,2026-07-15
Point,13.3778491,52.5115728,Sitzbank,Sitzbank,,2026-07-15
Point,13.3779021,52.511653,Sitzbank,Sitzbank,,2026-07-15
Point,13.3773913,52.5119349,Sitzbank,Sitzbank,,2026-07-15
Point,13.5645509,52.47835,Sitzbank,Sitzbank,,2026-07-15
Point,13.109125,52.4192384,Sitzbank,Sitzbank,,2026-07-15
Point,13.1092059,52.4187088,Sitzbank,Sitzbank,,2026-07-15
Point,13.3103241,52.604155,Sitzbank,Sitzbank,,2026-07-15
Point,13.3757341,52.4078835,Sitzbank,Sitzbank,,2026-07-15
Point,13.4762282,52.4609202,Sitzbank,Sitzbank,,2026-07-15
Point,13.3515879,52.5449246,Sitzbank,Sitzbank,,2026-07-15
Point,13.3518164,52.5450483,Sitzbank,Sitzbank,,2026-07-15
Point,13.3519015,52.5450914,Sitzbank,Sitzbank,,2026-07-15
Point,13.351901,52.5451191,Sitzbank,Sitzbank,,2026-07-15
Point,13.3518239,52.5451789,Sitzbank,Sitzbank,,2026-07-15
Point,13.3550823,52.5444449,Sitzbank,Sitzbank,,2026-07-15
Point,13.3549385,52.5443717,Sitzbank,Sitzbank,,2026-07-15
Point,13.3549741,52.5443949,Sitzbank,Sitzbank,,2026-07-15
Point,13.3550338,52.5444226,Sitzbank,Sitzbank,,2026-07-15
Point,13.3551353,52.5444767,Sitzbank,Sitzbank,,2026-07-15
Point,13.3529371,52.5438749,Sitzbank,Sitzbank,,2026-07-15
Point,13.3525849,52.5436971,Sitzbank,Sitzbank,,2026-07-15
Point,13.3533255,52.544139,Sitzbank,Sitzbank,,2026-07-15
Point,13.353258,52.5440376,Sitzbank,Sitzbank,,2026-07-15
Point,13.3620419,52.5116757,Sitzbank,Sitzbank,,2026-07-15
Point,13.3592606,52.512148,Sitzbank,Sitzbank,,2026-07-15
Point,13.3592023,52.5472249,Sitzbank,Sitzbank,,2026-07-15
Point,13.3590774,52.5471445,Sitzbank,Sitzbank,,2026-07-15
Point,13.3589494,52.5470652,Sitzbank,Sitzbank,,2026-07-15
Point,13.3591039,52.5472875,Sitzbank,Sitzbank,,2026-07-15
Point,13.333989,52.5243642,Sitzbank,Sitzbank,,2026-07-15
Point,13.5794528,52.5445242,Sitzbank,Sitzbank,Hochbank,2026-07-15
Point,13.5843094,52.5482925,Sitzbank,Sitzbank,,2026-07-15
Point,13.5773485,52.5429733,Sitzbank,Sitzbank,,2026-07-15
Point,13.5774654,52.5428425,Sitzbank,Sitzbank,,2026-07-15
Point,13.5771616,52.5421598,Sitzbank,Sitzbank,,2026-07-15
Point,13.5771994,52.5420172,Sitzbank,Sitzbank,,2026-07-15
Point,13.5773826,52.5441695,Sitzbank,Sitzbank,,2026-07-15
Point,13.5777211,52.5441301,Sitzbank,Sitzbank,,2026-07-15
Point,13.3602781,52.5185908,Sitzbank,Sitzbank,,2026-07-15
Point,13.358233,52.5178513,Sitzbank,Sitzbank,,2026-07-15
Point,13.3598646,52.5184956,Sitzbank,Sitzbank,,2026-07-15
Point,13.3584473,52.5179406,Sitzbank,Sitzbank,,2026-07-15
Point,13.3583437,52.5179497,Sitzbank,Sitzbank,,2026-07-15
Point,13.3682597,52.521905,Sitzbank,Sitzbank,,2026-07-15
Point,13.3682068,52.5218351,Sitzbank,Sitzbank,,2026-07-15
Point,13.5851671,52.5335015,Sitzbank,Sitzbank,,2026-07-15
Point,13.581232,52.5312051,Sitzbank,Sitzbank,,2026-07-15
Point,13.1918448,52.4905882,Sitzbank,Sitzbank,,2026-07-15
Point,13.2753174,52.5288404,Sitzbank,Sitzbank,,2026-07-15
Point,13.4173811,52.5433993,Sitzbank,Sitzbank,,2026-07-15
Point,13.4174035,52.5433606,Sitzbank,Sitzbank,,2026-07-15
Point,13.2166375,52.5398212,Sitzbank,Sitzbank,,2026-07-15
Point,13.4890646,52.5698469,Sitzbank,Sitzbank,,2026-07-15
Point,13.3591725,52.5647812,Sitzbank,Sitzbank,,2026-07-15
Point,13.192752,52.5126023,Sitzbank,Sitzbank,,2026-07-15
Point,13.1932786,52.5131292,Sitzbank,Sitzbank,,2026-07-15
Point,13.5680344,52.4072338,Sitzbank,Sitzbank,,2026-07-15
Point,13.5680048,52.4072911,Sitzbank,Sitzbank,,2026-07-15
Point,13.4290064,52.6372876,Sitzbank,Sitzbank,,2026-07-15
Point,13.4322096,52.6370959,Sitzbank,Sitzbank,,2026-07-15
Point,13.428273,52.6357268,Sitzbank,Sitzbank,,2026-07-15
Point,13.4280945,52.634859,Sitzbank,Sitzbank,,2026-07-15
Point,13.4285673,52.6336612,Sitzbank,Sitzbank,,2026-07-15
Point,13.4291224,52.633644,Sitzbank,Sitzbank,,2026-07-15
Point,13.4304175,52.6336574,Sitzbank,Sitzbank,,2026-07-15
Point,13.4308792,52.6336806,Sitzbank,Sitzbank,,2026-07-15
Point,13.4324068,52.6337366,Sitzbank,Sitzbank,,2026-07-15
Point,13.4324986,52.6337366,Sitzbank,Sitzbank,,2026-07-15
Point,13.4351994,52.6337715,Sitzbank,Sitzbank,,2026-07-15
Point,13.2130206,52.4513853,Sitzbank,Sitzbank,,2026-07-15
Point,13.3518282,52.5435447,Sitzbank,Sitzbank,,2026-07-15
Point,13.3517,52.5437404,Sitzbank,Sitzbank,,2026-07-15
Point,13.3521242,52.5433165,Sitzbank,Sitzbank,,2026-07-15
Point,13.5770536,52.5491352,Sitzbank,Sitzbank,,2026-07-15
Point,13.5394766,52.4478301,Sitzbank,Sitzbank,,2026-07-15
Point,13.5418627,52.4427712,Sitzbank,Sitzbank,,2026-07-15
Point,13.546963,52.4474007,Sitzbank,Sitzbank,Rückenlehne als Krokodil gestaltet,2026-07-15
Point,13.3846736,52.5339429,Sitzbank,Sitzbank,,2026-07-15
Point,13.4339239,52.6087693,Sitzbank,Sitzbank,,2026-07-15
Point,13.4242028,52.6157221,Sitzbank,Sitzbank,,2026-07-15
Point,13.4239048,52.6156994,Sitzbank,Sitzbank,,2026-07-15
Point,13.5361859,52.4676536,Sitzbank,Sitzbank,,2026-07-15
Point,13.5349065,52.4674,Sitzbank,Sitzbank,,2026-07-15
Point,13.3348152,52.5047414,Sitzbank,Sitzbank,,2026-07-15
Point,13.3362447,52.5048984,Sitzbank,Sitzbank,,2026-07-15
Point,13.6207076,52.4550293,Sitzbank,Sitzbank,,2026-07-15
Point,13.6189458,52.4554109,Sitzbank,Sitzbank,,2026-07-15
Point,13.4397745,52.489897,Sitzbank,Sitzbank,,2026-07-15
Point,13.4426002,52.4767263,Sitzbank,Sitzbank,,2026-07-15
Point,13.577741,52.502157,Sitzbank,Sitzbank,,2026-07-15
Point,13.417445,52.4607911,Sitzbank,Sitzbank,,2026-07-15
Point,13.4361422,52.4670865,Sitzbank,Sitzbank,,2026-07-15
Point,13.3716886,52.5227659,Sitzbank,Sitzbank,,2026-07-15
Point,13.3718211,52.522772,Sitzbank,Sitzbank,,2026-07-15
Point,13.3718485,52.5227549,Sitzbank,Sitzbank,,2026-07-15
Point,13.3719879,52.5227399,Sitzbank,Sitzbank,,2026-07-15
Point,13.3719606,52.522757,Sitzbank,Sitzbank,,2026-07-15
Point,13.3719437,52.5227729,Sitzbank,Sitzbank,,2026-07-15
Point,13.3720565,52.5227741,Sitzbank,Sitzbank,,2026-07-15
Point,13.372065,52.5227575,Sitzbank,Sitzbank,,2026-07-15
Point,13.3721778,52.5227741,Sitzbank,Sitzbank,,2026-07-15
Point,13.3721705,52.5227406,Sitzbank,Sitzbank,,2026-07-15
Point,13.3722017,52.522757,Sitzbank,Sitzbank,,2026-07-15
