type,coordinates long,coordinates lat,category,name,info
Feature,13.630692,52.445836,Strandbad,Strandbad Friedrichshagen,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344322.php
Feature,13.607215,52.408983,Strandbad,Strandbad Grünau,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344325.php
Feature,13.281842,52.494533,Strandbad,Strandbad Halensee,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.468922.php
Feature,13.212969,52.60045,Strandbad,Strandbad Heiligensee,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344335.php
Feature,13.274666,52.543708,Strandbad,Strandbad Jungfernheide,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344352.php
Feature,13.336049,52.61795,Strandbad,"Lübars, Strandbad (Ziegeleisee)",https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344336.php
Feature,13.675901,52.444719,Strandbad,Strandbad Müggelsee,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344329.php
Feature,13.484255,52.549596,Strandbad,Strandbad Orankesee,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.347246.php
Feature,13.32923,52.543601,Strandbad,Strandbad Plötzensee,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344353.php
Feature,13.245277,52.577838,Strandbad,Strandbad Tegeler See,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344343.php
Feature,13.176804,52.438898,Strandbad,Strandbad Wannsee,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344361.php
Feature,13.465588,52.553957,Strandbad,Strandbad Weißensee,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344318.php
Feature,13.600317,52.415144,Strandbad,Strandbad Wendenschloss,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344333.php
