type,coordinates long,coordinates lat,category,name,info
Feature,13.412954,52.52146304,Toilette,Öffentliche Toilette,"nicht barrierefrei/unbekannt, Preis: 0,50 €"
Feature,13.20502778,52.53686115,Toilette,Öffentliche Toilette,"nicht barrierefrei/unbekannt, Preis: 0,20 €"
Feature,13.28188985,52.47667886,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.20042906,52.53547012,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.32143252,52.45726955,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.49774032,52.41580888,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,00 €"
Feature,13.34272706,52.50246767,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.28278846,52.58985281,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.39989808,52.51946736,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,00 €"
Feature,13.31733472,52.50148073,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.37553913,52.51637205,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,00 €"
Feature,13.43455729,52.5114774,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,00 €"
Feature,13.40042936,52.52199963,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,00 €"
Feature,13.35159522,52.55038289,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.306683,52.50788054,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.42529799,52.48763154,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.25962426,52.43104299,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.4993597,52.51063191,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.43298563,52.5235086,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.40023511,52.5806732,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.45063157,52.50761978,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,00 €"
Feature,13.32799011,52.47259635,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.385392,52.47027304,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.29939866,52.4953413,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
Feature,13.33060649,52.52741493,Toilette,Öffentliche Toilette,"barrierefrei, Preis: 0,50 €"
