type,coordinates long,coordinates lat,category,name,info
Point,13.2059831,52.5461978,Trinkbrunnen,Trinkbrunnen,
Point,13.3508222,52.545075,Trinkbrunnen,Trinkbrunnen,
Point,13.3505558,52.5432643,Trinkbrunnen,Fachschaftsrat VI,Fachschaftsraum der Fachschaft VI Informatik und Medien
Point,13.3250412,52.5027369,Trinkbrunnen,Wiener Trinkbrunnen,
Point,13.3276757,52.503248,Trinkbrunnen,Trinkbrunnen,
Point,13.4461433,52.472202,Trinkbrunnen,Trinkbrunnen,
Point,13.3304781,52.5034004,Trinkbrunnen,Trinkbrunnen,
Point,13.3813936,52.5525831,Trinkbrunnen,Trinkbrunnen,
Point,13.3034619,52.4821114,Trinkbrunnen,Trinkbrunnen,
Point,13.3022781,52.4554121,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode"
Point,13.4189631,52.4986636,Trinkbrunnen,Trinkbrunnen,
Point,13.4093084,52.4315183,Trinkbrunnen,Trinkbrunnen,
Point,13.3059014,52.4557499,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode"
Point,13.1970197,52.5249428,Trinkbrunnen,Trinkbrunnen,
Point,13.5630502,52.5545592,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen Ringkolonnaden
Point,13.4182015,52.5367424,Trinkbrunnen,Trinkbrunnen,
Point,13.4921282,52.4202153,Trinkbrunnen,Trinkbrunnen,
Point,13.4270349,52.4883515,Trinkbrunnen,Trinkbrunnen,
Point,13.2070095,52.5346659,Trinkbrunnen,Trinkbrunnen,
Point,13.3724099,52.499449,Trinkbrunnen,Trinkbrunnen,
Point,13.41944,52.433937,Trinkbrunnen,Trinkbrunnen,
Point,13.2538261,52.5052032,Trinkbrunnen,Trinkbrunnen,
Point,13.342612,52.5257542,Trinkbrunnen,Trinkbrunnen,
Point,13.3201723,52.4251203,Trinkbrunnen,Trinkbrunnen,
Point,13.2104745,52.4765982,Trinkbrunnen,Trinkbrunnen,
Point,13.5263703,52.4586807,Trinkbrunnen,Trinkbrunnen,
Point,13.526608,52.4820804,Trinkbrunnen,Trinkbrunnen,
Point,13.5024523,52.5660393,Trinkbrunnen,Trinkbrunnen,
Point,13.4329038,52.5285384,Trinkbrunnen,Trinkbrunnen,
Point,13.5793379,52.458332,Trinkbrunnen,Trinkbrunnen,
Point,13.3057149,52.4559221,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode"
Point,13.4989954,52.510494,Trinkbrunnen,Trinkbrunnen,
Point,13.4113889,52.5673196,Trinkbrunnen,Trinkbrunnen,
Point,13.40452,52.5698534,Trinkbrunnen,Trinkbrunnen,
Point,13.3872405,52.549671,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, Schüttung circa 30 ml pro Sekunde, Flaschen füllen möglich"
Point,13.398695,52.5412732,Trinkbrunnen,Trinkbrunnen,
Point,13.4017636,52.5110324,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen; Mai-Okt
Point,13.3901552,52.5079674,Trinkbrunnen,Trinkbrunnen,
Point,13.3736379,52.4957248,Trinkbrunnen,Trinkbrunnen,
Point,13.4716309,52.5297187,Trinkbrunnen,Trinkbrunnen,
Point,13.4870032,52.5013051,Trinkbrunnen,Trinkbrunnen,
Point,13.3794023,52.5095536,Trinkbrunnen,Trinkbrunnen,
Point,13.2961093,52.5192385,Trinkbrunnen,Trinkbrunnen,Berliner Trinkbrunnen; Mai-Okt
Point,13.5385285,52.5278915,Trinkbrunnen,Trinkbrunnen,
Point,13.5607923,52.505948,Trinkbrunnen,Trinkbrunnen,
Point,13.5483757,52.4611631,Trinkbrunnen,Trinkbrunnen,
Point,13.3473185,52.5283748,Trinkbrunnen,Trinkbrunnen,
Point,13.2885685,52.4530439,Trinkbrunnen,Trinkbrunnen,inside the mensa building on the northern side there is a water fountain with potable water.
Point,13.5435759,52.543056,Trinkbrunnen,Trinkbrunnen,
Point,13.5736764,52.5132642,Trinkbrunnen,Trinkbrunnen,
Point,13.4487272,52.511362,Trinkbrunnen,Trinkbrunnen,
Point,13.3069271,52.5058411,Trinkbrunnen,Trinkbrunnen,
Point,13.3170977,52.434161,Trinkbrunnen,Trinkbrunnen,
Point,13.5756551,52.5342736,Trinkbrunnen,Trinkbrunnen,
Point,13.3041576,52.4585282,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.2898919,52.4579536,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.2590567,52.4333984,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.2740415,52.5086629,Trinkbrunnen,Trinkbrunnen,
Point,13.198922,52.5360414,Trinkbrunnen,Trinkbrunnen,
Point,13.2407817,52.525921,Trinkbrunnen,Trinkbrunnen,
Point,13.3063828,52.5076709,Trinkbrunnen,Trinkbrunnen,
Point,13.364205,52.5438933,Trinkbrunnen,Trinkbrunnen,
Point,13.3354457,52.5303473,Trinkbrunnen,Trinkbrunnen,
Point,13.4608049,52.5199043,Trinkbrunnen,Trinkbrunnen,
Point,13.4354349,52.4810287,Trinkbrunnen,Trinkbrunnen,
Point,13.3351796,52.4720755,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen; nur außerhalb der Frostperiode (Mai-Okt)
Point,13.3072451,52.5008189,Trinkbrunnen,Trinkbrunnen,
Point,13.3245057,52.4612866,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.4064442,52.516625,Trinkbrunnen,Trinkbrunnen,
Point,13.4376695,52.4720554,Trinkbrunnen,Trinkbrunnen,
Point,13.4375397,52.4701155,Trinkbrunnen,Trinkbrunnen,
Point,13.3060167,52.508792,Trinkbrunnen,Trinkbrunnen,
Point,13.2744435,52.5881706,Trinkbrunnen,Trinkbrunnen,
Point,13.2868702,52.5859424,Trinkbrunnen,Trinkbrunnen,
Point,13.4102117,52.5487932,Trinkbrunnen,Trinkbrunnen,
Point,13.424537,52.5036585,Trinkbrunnen,Trinkbrunnen,
Point,13.4782464,52.5191322,Trinkbrunnen,Trinkbrunnen,
Point,13.4510768,52.5486673,Trinkbrunnen,Trinkbrunnen,
Point,13.3223376,52.4567798,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.3197367,52.4893489,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen; Mai-Oktober
Point,13.4670199,52.5171483,Trinkbrunnen,Trinkbrunnen,
Point,13.318791,52.4833969,Trinkbrunnen,Trinkbrunnen,März–Oktober
Point,13.3599699,52.5506776,Trinkbrunnen,Trinkbrunnen,
Point,13.435589,52.4698754,Trinkbrunnen,Trinkbrunnen,
Point,13.3675653,52.5520027,Trinkbrunnen,Trinkbrunnen,
Point,13.3354403,52.4486595,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen; nur außerhalb der Frostperiode (Mai-Okt)
Point,13.5215822,52.5670452,Trinkbrunnen,Trinkbrunnen,
Point,13.3922503,52.5554365,Trinkbrunnen,Trinkbrunnen,
Point,13.4312112,52.493083,Trinkbrunnen,Trinkbrunnen,
Point,13.4223036,52.4765877,Trinkbrunnen,Trinkbrunnen,
Point,13.3614081,52.5632879,Trinkbrunnen,Trinkbrunnen,
Point,13.3797732,52.5263627,Trinkbrunnen,Trinkbrunnen,
Point,13.4300801,52.5423427,Trinkbrunnen,Trinkbrunnen,
Point,13.4448018,52.5172231,Trinkbrunnen,Wasserspender,
Point,13.4961684,52.5036104,Trinkbrunnen,Trinkbrunnen,
Point,13.3393362,52.5327092,Trinkbrunnen,Trinkbrunnen,
Point,13.4390703,52.5279214,Trinkbrunnen,Trinkbrunnen,
Point,13.4825707,52.5035482,Trinkbrunnen,Trinkbrunnen,
Point,13.5113126,52.4942438,Trinkbrunnen,Trinkbrunnen,
Point,13.4078304,52.4895176,Trinkbrunnen,Trinkbrunnen,
Point,13.4429075,52.5160179,Trinkbrunnen,Trinkbrunnen,
Point,13.437356,52.5178491,Trinkbrunnen,Trinkbrunnen,
Point,13.5764176,52.5399059,Trinkbrunnen,Trinkbrunnen,
Point,13.4071,52.4822,Trinkbrunnen,Trinkbrunnen,
Point,13.5209785,52.5038306,Trinkbrunnen,Trinkbrunnen,
Point,13.5087798,52.5253726,Trinkbrunnen,Trinkbrunnen,
Point,13.3866466,52.4714716,Trinkbrunnen,Trinkbrunnen,
Point,13.4484522,52.4818435,Trinkbrunnen,Trinkbrunnen,
Point,13.446422,52.4835802,Trinkbrunnen,Trinkbrunnen,
Point,13.3147973,52.4993977,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen; Mai-Okt
Point,13.3227511,52.4977287,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen; Mai-Okt
Point,13.5704202,52.5488292,Trinkbrunnen,Trinkbrunnen,
Point,13.5566231,52.5466075,Trinkbrunnen,Trinkbrunnen,
Point,13.4859343,52.5113827,Trinkbrunnen,Trinkbrunnen,
Point,13.3531192,52.6003244,Trinkbrunnen,Trinkbrunnen,
Point,13.4204021,52.552017,Trinkbrunnen,Trinkbrunnen,
Point,13.4244979,52.535006,Trinkbrunnen,Trinkbrunnen an der Marie,
Point,13.395756,52.4891231,Trinkbrunnen,Trinkbrunnen,
Point,13.2080271,52.5554727,Trinkbrunnen,Trinkbrunnen,
Point,13.2402752,52.4424363,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.7209279,52.4389881,Trinkbrunnen,Trinkbrunnen,
Point,13.2903353,52.6343557,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen; März-Oktober
Point,13.2302699,52.4470696,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen (modetner Brunnen), nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.2577857,52.4354299,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.3121552,52.4429144,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.3431689,52.4389802,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.4221867,52.5443624,Trinkbrunnen,Trinkbrunnen,
Point,13.4391818,52.4890967,Trinkbrunnen,Trinkbrunnen,Berliner Trinkbrunnen; Mai-Okt
Point,13.4293857,52.5186853,Trinkbrunnen,Trinkbrunnen,
Point,13.3779714,52.4965686,Trinkbrunnen,Trinkbrunnen,
Point,13.5891247,52.4406723,Trinkbrunnen,Trinkbrunnen,
Point,13.4185181,52.4764672,Trinkbrunnen,Trinkbrunnen,
Point,13.4199503,52.4708377,Trinkbrunnen,Trinkbrunnen,
Point,13.5535884,52.4352163,Trinkbrunnen,Trinkbrunnen,
Point,13.313469,52.4904278,Trinkbrunnen,Trinkbrunnen,
Point,13.4819777,52.48929,Trinkbrunnen,Trinkbrunnen,
Point,13.3016888,52.5051043,Trinkbrunnen,Trinkbrunnen,
Point,13.3860318,52.516778,Trinkbrunnen,Trinkbrunnen,
Point,13.4670424,52.5200476,Trinkbrunnen,Trinkbrunnen,
Point,13.1981059,52.5551093,Trinkbrunnen,Trinkbrunnen,
Point,13.5546651,52.5571581,Trinkbrunnen,Trinkbrunnen,
Point,13.3696294,52.5444376,Trinkbrunnen,Trinkbrunnen,
Point,13.4146715,52.4949204,Trinkbrunnen,Trinkbrunnen,
Point,13.4474111,52.5101075,Trinkbrunnen,Trinkbrunnen,
Point,13.3040597,52.5257772,Trinkbrunnen,Trinkbrunnen,Berliner Trinkbrunnen; Mai-Okt
Point,13.1721861,52.5212686,Trinkbrunnen,Trinkbrunnen,
Point,13.5082781,52.4065732,Trinkbrunnen,Trinkbrunnen,
Point,13.2653442,52.5760769,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, Privatgelände"
Point,13.1970327,52.5135624,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)"
Point,13.2112804,52.5460494,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur in Sommerperiode in Betriebe"
Point,13.1782108,52.5502374,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur in Sommerperiode in Betrieb"
Point,13.2061468,52.5386916,Trinkbrunnen,Trinkbrunnen,"Trinkbrunnen, nur in Sommerperiode in Betrieb"
Point,13.6241142,52.4505938,Trinkbrunnen,Trinkbrunnen,
Point,13.6443927,52.4477402,Trinkbrunnen,Trinkbrunnen,
Point,13.3060309,52.6018139,Trinkbrunnen,Trinkbrunnen,
Point,13.2000212,52.5284661,Trinkbrunnen,Trinkbrunnen,
Point,13.397813,52.5710355,Trinkbrunnen,Trinkbrunnen,Trinkbrunnen (im Winter inaktiv)
Point,13.4954378,52.5420071,Trinkbrunnen,Trinkbrunnen,
Point,13.4179519,52.4769978,Trinkbrunnen,Trinkbrunnen,
Point,13.3627384,52.548927,Trinkbrunnen,Trinkbrunnen,
Point,13.4005533,52.3865757,Trinkbrunnen,Trinkbrunnen,
Point,13.4319304,52.5501327,Trinkbrunnen,Trinkbrunnen,
Point,13.5391963,52.5362176,Trinkbrunnen,Trinkbrunnen,
Point,13.3604334,52.4849802,Trinkbrunnen,Trinkbrunnen,
