type,coordinates long,coordinates lat,category,name,info
Point,13.5732715,52.5650066,Wasserspielplatz,Wasserspielplatz,
Point,13.5640839,52.5407034,Wasserspielplatz,Sprühplansche am Anger,
Point,13.4322941,52.4930645,Wasserspielplatz,,Natur- und Wasserspielplatz
Point,13.4891452,52.4813107,Wasserspielplatz,,Das Wasserspiel schaltet sich ab Temperaturen über 21 Grad Celsius automatisch ein und sprudelt in 20-minütigen Intervallen.
Point,13.4283472,52.5269927,Wasserspielplatz,,Plansche
Point,13.423552,52.5169325,Wasserspielplatz,Plansche,
Point,13.4227987,52.4336445,Wasserspielplatz,Wasserspielplatz Britzer Garten,
Point,13.459214,52.5110698,Wasserspielplatz,Plansche,
Point,13.3934204,52.4439599,Wasserspielplatz,Wasserspielplatz,
Point,13.4687777,52.4943837,Wasserspielplatz,Wasserspielplatz Alt-Stralau,
Point,13.4726305,52.5261967,Wasserspielplatz,Rudolf-Seiffert-Straße Grünzug Sprühanlage,
Point,13.5108413,52.4940546,Wasserspielplatz,Wasserspielplatz,
Point,13.3700104,52.4984881,Wasserspielplatz,Wasserspielplatz im Gleisdreieckpark,
Point,13.3466787,52.5600406,Wasserspielplatz,Wasserspielplatz,
Point,13.5297817,52.4998064,Wasserspielplatz,Wasserspielplatz,
Point,13.3875962,52.5310962,Wasserspielplatz,Planschepark,
Point,13.4608639,52.5196701,Wasserspielplatz,Plansche,
Point,13.5770556,52.5492162,Wasserspielplatz,Plansche Marzahn Ost,
Point,13.5733245,52.5364505,Wasserspielplatz,Wasserspielplatz,
Point,13.5606836,52.5676941,Wasserspielplatz,Sprühplansche,
Point,13.2484834,52.6081308,Wasserspielplatz,,Wasserspielplatz
Point,13.3531341,52.5464737,Wasserspielplatz,,
Point,13.5434743,52.5219242,Wasserspielplatz,Plansche Südspitze,
Point,13.4023965,52.5319804,Wasserspielplatz,Plansche im Volkspark Weinbergsweg,
Point,13.4328548,52.5368732,Wasserspielplatz,Plansche auf dem Spielberg,
Point,13.4609093,52.5553726,Wasserspielplatz,Plansche am Weißen See,
Point,13.4223407,52.4334958,Wasserspielplatz,,Wasserlabyrinth
Point,13.4056777,52.5036026,Wasserspielplatz,Community-Brunnen,
Point,13.5729655,52.5427901,Wasserspielplatz,Plansche Altlandsberger Platz,
Point,13.4450496,52.5402411,Wasserspielplatz,Plansche Einsteinpark,
Point,13.2875936,52.5036149,Wasserspielplatz,,Wasserspielplatz mit Pumpe
Point,13.4758853,52.5182667,Wasserspielplatz,,Plansche mit zwei am Rand befindlichen Seelöwenfiguren.
